Author,Comment,Likes,Timestamp
@themystery2503,Mumbai Indians huniya hila denge hum 🥳🥳🔥🔥,0,2025-02-09T12:56:20Z
@Rudragaming816s,🎉😢,0,2025-02-09T12:50:24Z
@gaurangba,Bowling wins the tournament!MICT bowling - Rabada boult  rashid khan the best ever🔥🔥🔥,7,2025-02-09T12:47:37Z
@sumittodkar8311,The best catching team i seen after so many years,1,2025-02-09T12:33:24Z
@naveen_7777,My expecting a &quot;MATCH FIXING&quot;🤔🤔🤔<br>What about other .......??? Reply to me via like or dislike,2,2025-02-09T12:14:58Z
@vimalsachi,Mi played very well 🙏🇮🇳,6,2025-02-09T12:08:55Z
@IG_prakhar007,Mi most goated team ever,1,2025-02-09T12:07:36Z
@RiyaArora-y1h,I was not there so🧏,1,2025-02-09T11:50:02Z
@NamanDeep7,Mi winned Ipl<br>Mi winned Majour league Cricket<br>Mi winned Dubai T20<br>Mi winned Sa 20 <br>wow,50,2025-02-09T11:36:58Z
@karthicksubramanian740,Rickelton shorts same like d kock,3,2025-02-09T11:34:33Z
@dhonironaldo-ij7ei,Congratulations mict🎉🎉🎉🎉well played sun rises 👏🏻,4,2025-02-09T11:21:43Z
@vrushalinpatil4218,Mi dominate in every league 💙💙💙💙🤩🥳,9,2025-02-09T11:15:22Z
@ShayaanFarooqui-j3o,sunrisers collapsing in finals i guess we have seen this before,12,2025-02-09T10:56:03Z
@djsomudj2617,💐💐👆💪💪🤙🤙❤❤💐💐,0,2025-02-09T10:49:45Z
@AytOfficial-x7h,Csgay fans crying,5,2025-02-09T10:46:52Z
@dayarih1217,SRH lost back to back finals and markram lost three back to back finals,7,2025-02-09T10:44:51Z
@shivanayak8656,HATED BY MANY DEFEATED BY NONE<br>~MI🎭,53,2025-02-09T10:42:21Z
@krupamajhi5742,Congratulations 🎉🥳 MI.. HITMAN45 👑☠️🗿× RICKELTAN44 💀🥵.. MUMBAI INDIANS 2025 🔥🔥🔥🔥✅✅✅✅,9,2025-02-09T10:41:19Z
@Aadiedit42,Goo,0,2025-02-09T10:37:47Z
@itzsam_50,Any fans of Aiden Markram from India 🇮🇳 and Afghanistan 🇦🇫,7,2025-02-09T10:30:30Z
@itzsam_50,Aiden Markram respect button ✅✅,46,2025-02-09T10:29:58Z
@itzsam_50,Cheers 🥂 guys sec 🧡 skipper Aiden Markram and team 🧡 you have been superb after losing first 3 matches comeback was 🔥cheers 🥂 still 2 times champions 🏆💪,51,2025-02-09T10:29:48Z
@sanatandarmastatus7775,Pr fan here 😢😢😢😢😢😢,0,2025-02-09T10:27:56Z
@malachirodrigues3013,"Trent boult won 4 out of 4 for the mumbai franchise. India, dubai, america and now south africa.",317,2025-02-09T10:27:13Z
@malachirodrigues3013,Congratulations mi cape town for becoming champions of sa20 2025. Last two seasons bottom of the points table. This season champions. All of them were are at the best the mi cape town.,72,2025-02-09T10:26:26Z
@abcs23348,Congrats🥳 MICT <br>Love From Odisha ❣️,29,2025-02-09T10:25:06Z
@sonicmoon3413,"<a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=325"">5:25</a> 😅😅😂😂",15,2025-02-09T10:23:36Z
@shaikmohammad2778,Fix match💯 % 🤣🤣🤣🇮🇳🇮🇳🇮🇳,1,2025-02-09T10:20:59Z
@Dark__warrior__ff31,Congratulations🎉🎉🎉🎉 mi ❤🎉,36,2025-02-09T10:13:15Z
@IRNAMXEDITZ,Rashid khan is the best captain of Afghanistan T20 cricket,12,2025-02-09T10:10:03Z
@Rahulvlogs-yt2be,Mi king of king🎉 congratulations 🎉❤,6,2025-02-09T10:09:59Z
@NathanielJoshua-zg4ee,Mumbai cooking everywhere!!!!,26,2025-02-09T10:09:52Z
@ayysh4817,Mi❤❤<br>Ab koi league nhi bachi hai <br>Jisme mi jeeti na ho🫡🫡🫡<br>Power of sudarshan chakra 🙏🙏,37,2025-02-09T10:09:27Z
@smratsharma5724,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-02-09T10:09:09Z
@JiwrakhanSabar-t1i,2,3,2025-02-09T10:07:56Z
@sonumittal4105,1st view,3,2025-02-09T10:06:09Z
